PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
41459,814900000,2021,1,2,6,48,40,247,18.048895,-20.219856,-36.540527,33.97369209,-117.7738426,347.155537,0.045646,-0.45484,-0.116202
41460,817400000,2021,1,2,6,48,40,247,17.997936,-20.203388,-36.563694,33.97369208,-117.7738426,347.155248,0.045941,-0.454381,-0.1156
41461,819900000,2021,1,2,6,48,40,247,17.935703,-20.198717,-36.50832,33.97369319,-117.7738425,347.192389,0.046413,-0.422669,-0.088439
41462,822400000,2021,1,2,6,48,40,247,17.898521,-20.180019,-36.531487,33.97369318,-117.7738425,347.192169,0.046747,-0.422285,-0.087897
41463,824900000,2021,1,2,6,48,40,247,17.866959,-20.160414,-36.554764,33.97369317,-117.7738425,347.19195,0.047077,-0.421841,-0.087226
41464,827400000,2021,1,2,6,48,40,247,17.841797,-20.139063,-36.57793,33.97369316,-117.7738425,347.191733,0.047429,-0.421532,-0.086598
41465,829900000,2021,1,2,6,48,40,247,17.820436,-20.117565,-36.601406,33.97369315,-117.7738425,347.196164,0.047977,-0.421101,-0.084538
41466,832400000,2021,1,2,6,48,40,247,17.803701,-20.095598,-36.625,33.97369314,-117.7738425,347.195954,0.048163,-0.420824,-0.084024
41467,834900000,2021,1,2,6,48,40,247,17.788887,-20.073889,-36.64875,33.97369313,-117.7738425,347.195744,0.048391,-0.420575,-0.083523
41468,837400000,2021,1,2,6,48,40,247,17.774775,-20.051399,-36.672626,33.97369312,-117.7738425,347.195536,0.048661,-0.420297,-0.082984
41469,839900000,2021,1,2,6,48,40,247,17.760088,-20.028955,-36.696182,33.97369311,-117.7738425,347.195329,0.04918,-0.419977,-0.082461
41470,842400000,2021,1,2,6,48,40,247,17.745552,-20.007471,-36.71912,33.9736931,-117.7738425,347.195123,0.049549,-0.41971,-0.081936
41471,844900000,2021,1,2,6,48,40,247,17.731434,-19.985205,-36.740585,33.97369309,-117.7738425,347.194919,0.049873,-0.419349,-0.081463
41472,847400000,2021,1,2,6,48,40,247,17.716343,-19.964466,-36.759869,33.97369308,-117.7738425,347.194716,0.050183,-0.419032,-0.081029
41473,849900000,2021,1,2,6,48,40,247,17.700012,-19.945269,-36.777637,33.97369308,-117.7738425,347.194366,0.050723,-0.418814,-0.080769
41474,852400000,2021,1,2,6,48,40,247,17.683365,-19.927429,-36.794163,33.97369307,-117.7738425,347.194165,0.050973,-0.418478,-0.080502
41475,854900000,2021,1,2,6,48,40,247,17.666555,-19.909992,-36.808914,33.97369306,-117.7738425,347.193964,0.051166,-0.418165,-0.080296
41476,857400000,2021,1,2,6,48,40,247,17.650188,-19.893333,-36.82243,33.97369305,-117.7738425,347.193763,0.051292,-0.417866,-0.080276
41477,859900000,2021,1,2,6,48,40,247,17.632875,-19.877823,-36.835392,33.97369304,-117.7738425,347.193561,0.051626,-0.417558,-0.080318
41478,862400000,2021,1,2,6,48,40,247,17.615183,-19.861933,-36.8461,33.97369303,-117.7738425,347.19336,0.051812,-0.417392,-0.080413
