"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
- 0.09733924269676208,0.7246989607810974,-0.06397231668233871,-0.09733924238598178,0.7246989821868427,-0.06397231517678109,100.0,10.0,35235.0,0.734,2754107278146.0,107278146.0,-5.0
- 0.09657423198223114,0.7199558019638062,0.1411986500024796,-0.09657423367942387,0.7199558019556606,0.1411986565786432,80.0,11.0,35236.0,0.74,2754107278148.0,107278148.0,11.0
- 0.09626281261444092,0.7185859680175781,-0.03799590468406677,-0.0962628137109354,0.7185859600340224,-0.03799590423237722,99.0,12.0,35237.0,0.726,2754107278150.0,107278150.0,-3.0
- 0.09586921334266663,0.7165981531143188,0.1669136881828308,-0.0958692130971668,0.7165981556168404,0.1669136823231478,100.0,13.0,35238.0,0.742,2754107278152.0,107278152.0,13.0
- 0.09401054680347443,0.7036394476890564,-0.01239120867103338,-0.09401054503019068,0.7036394498415289,-0.01239120857047129,100.0,14.0,35239.0,0.71,2754107278155.0,107278155.0,-1.0
- 0.09657889604568481,0.7238251566886902,0.1956671923398972,-0.09657889645908771,0.7238251614495149,0.1956671980975057,99.0,15.0,35240.0,0.756,2754107278157.0,107278157.0,15.0
- 0.09645398706197739,0.7296881675720215,-0.197220116853714,-0.0964539855428336,0.7296881909078758,-0.1972201123681208,20.0,0.0,35247.0,0.762,2754107278178.0,107278178.0,-15.0
- 0.0955222025513649,0.7236112356185913,0.01274025626480579,-0.09552220186717758,0.7236112179960204,0.01274025669921696,38.0,1.0,35248.0,0.73,2754107278180.0,107278180.0,1.0
- 0.09449326992034912,0.7167809009552002,-0.1669136881828308,-0.09449326756639072,0.7167808905362599,-0.1669136823231478,27.0,2.0,35249.0,0.742,2754107278182.0,107278182.0,-13.0
- 0.09580176323652267,0.7267065048217773,0.03841459006071091,-0.09580176165797796,0.7267065030627858,0.03841459188232077,100.0,3.0,35249.0,0.734,2754107278185.0,107278185.0,3.0
- 0.0922522023320198,0.7007250189781189,-0.1373824775218964,-0.09225220207328476,0.7007250433061039,-0.1373824766711123,100.0,4.0,35250.0,0.72,2754107278187.0,107278187.0,-11.0
- 0.09479569643735886,0.7210171818733215,0.06362368911504745,-0.09479569567927991,0.7210171994278528,0.06362369220579046,89.0,5.0,35251.0,0.73,2754107278189.0,107278189.0,5.0
- 0.09437578916549683,0.718794047832489,-0.1148228943347931,-0.09437579076949851,0.7187940681190877,-0.1148228973395295,41.0,6.0,35252.0,0.734,2754107278192.0,107278192.0,-9.0
- 0.09910118579864502,0.7558060884475708,0.09359565377235413,-0.09910118566059962,0.755806065223196,0.09359565573515326,99.0,7.0,35253.0,0.768,2754107278194.0,107278194.0,7.0
- 0.09716514497995377,0.7420453429222107,-0.09188948571681976,-0.09716514377051044,0.7420453203112449,-0.0918894849274812,18.0,8.0,35254.0,0.754,2754107278196.0,107278196.0,-7.0
- 0.09592017531394958,0.732537567615509,0.1170129776000977,-0.0959201759735106,0.732537563806671,0.1170129798500927,100.0,9.0,35254.0,0.748,2754107278199.0,107278199.0,9.0
- 0.0942923054099083,0.7210832238197327,-0.06362368911504745,-0.09429230765529335,0.7210832035952178,-0.06362369220579046,100.0,10.0,35255.0,0.73,2754107278201.0,107278201.0,-5.0
- 0.09355209767818451,0.7163950800895691,0.1404354274272919,-0.09355209527673175,0.7163950712498227,0.140435420597137,78.0,11.0,35256.0,0.736,2754107278203.0,107278203.0,11.0
- 0.09452871978282928,0.7248590588569641,-0.03830992057919502,-0.09452871971803904,0.7248590698752228,-0.03830991996983488,91.0,12.0,35257.0,0.732,2754107278205.0,107278205.0,-3.0
- 0.09387056529521942,0.7207933068275452,0.1678134799003601,-0.0938705620736453,0.7207932791800237,0.1678134865405233,100.0,13.0,35258.0,0.746,2754107278208.0,107278208.0,13.0
- 0.09155381470918655,0.7039633393287659,-0.01239120867103338,-0.09155381224438261,0.7039633210712638,-0.01239120857047129,100.0,14.0,35259.0,0.71,2754107278210.0,107278210.0,-1.0
- 0.09181235730648041,0.7069160342216492,0.191008448600769,-0.0918123608683731,0.7069160207557624,0.1910084552856603,100.0,15.0,35260.0,0.738,2754107278212.0,107278212.0,15.0
- 0.09341336786746979,0.7261883020401001,-0.196184828877449,-0.09341336428251751,0.7261883043835275,-0.1961848361877107,20.0,0.0,35267.0,0.758,2754107278233.0,107278233.0,-15.0
- 0.09121226519346237,0.710056483745575,0.01249592285603285,-0.09121226534246998,0.7100564587124362,0.012495923009095,38.0,1.0,35268.0,0.716,2754107278235.0,107278235.0,1.0
- 0.09199065715074539,0.7171063423156738,-0.1669136881828308,-0.09199065965111264,0.7171063667199452,-0.1669136823231478,25.0,2.0,35269.0,0.742,2754107278238.0,107278238.0,-13.0
- 0.09351862221956253,0.7290174961090088,0.03851926326751709,-0.09351862561754107,0.7290175121211507,0.03851926379480666,100.0,3.0,35269.0,0.736,2754107278240.0,107278240.0,3.0
- 0.09030457586050034,0.7049374580383301,-0.1381457149982452,-0.09030457347263003,0.704937476720898,-0.1381457126526184,100.0,4.0,35270.0,0.724,2754107278242.0,107278242.0,-11.0
- 0.09354238212108612,0.7312251329421997,0.06449525058269501,-0.09354238472393163,0.7312251260965411,0.06449524963326704,88.0,5.0,35271.0,0.74,2754107278245.0,107278245.0,5.0
- 0.09211647510528564,0.7210785746574402,-0.1151357665657997,-0.09211647277084407,0.7210785746156712,-0.1151357662696099,41.0,6.0,35272.0,0.736,2754107278247.0,107278247.0,-9.0
- 0.09570871293544769,0.7502399682998657,0.09286443889141083,-0.09570871446612653,0.7502399868169792,0.09286443967472238,99.0,7.0,35273.0,0.762,2754107278249.0,107278249.0,7.0
- 0.0950760543346405,0.7463183403015137,-0.0923769623041153,-0.0950760508446314,0.7463183244379102,-0.09237696230110179,17.0,8.0,35274.0,0.758,2754107278252.0,107278252.0,-7.0
- 0.09386182576417923,0.7367870211601257,0.1176387146115303,-0.0938618233288744,0.7367870046471141,0.1176387177102536,100.0,9.0,35274.0,0.752,2754107278254.0,107278254.0,9.0
- 0.09152324497699738,0.7194315195083618,-0.06344938278198242,-0.09152324560124768,0.7194314919440383,-0.06344938072029514,100.0,10.0,35275.0,0.728,2754107278256.0,107278256.0,-5.0
